original_commit_hash,bundle_commit_hash,short_hash,commit_msg_subject
0090921ba739de6464cd4443f935408c9077b61b,075741d23b794e5dd134600c38bcb6ab58f4b45c,075741d,Fix .gitignore: large binaries were never actually ignored
00915f39e544a75888337bd7a0fd995b258465a5,29e9a8e52383e3faa35b9d8592d6016103f61e3c,29e9a8e,"todo: withdraw #48 (premise falsified), keep cosmetic residue as deferred #57"
0154d77afd60d8c15daf3e8769ea0a2355f46557,2862cf11a1d48f1e0e2b11441f8c6103967a44be,2862cf1,proto_diff/tests: skip cleanly when reference fixtures are unavailable
0224597daa61065121a495f5262c4fea90f18f3c,82c5d35cc8087f84fabd5f97d5ddb18bdb4645ec,82c5d35,refactor: rename macho_extractor/ -> apple_protobuf_extractor/; move LIMITATIONS.md inside; #45 -> limitation
024709d4b0ca621f1d8d1d7bc17f2b168a5dad55,9ce5b02c13259ad16050c2d3e37203d77875f318,9ce5b02,"Cross-cutting cleanups: narrow a broad except, name two output-affecting caps, dedup a test fixture"
02c44ab6e25beec10a7895dd35a04e7128040b95,230b9748808bbed6fc68fc13ba638d2d576a0719,230b974,Mark CAUTIOUS_PORTABLE_TRANSPARENT_ANALYSIS as done
04401839ee1ceeaa96b5f89756e3634bf36ff64c,2c23d11781796ad2f2382d805f233e8115136c80,2c23d11,extractor: use arm64cfg.split_ops in the writeTo helper-classifier
054540c6718e00da587482bb0994043863cd8e02,d581f83aca77d2e0f1931a6683b4ff22ceac8621,d581f83,chore: drop superseded ios_decoder plan docs; gitignore notes/reference-protos/protos trees
0738985df13ea8231044174aef8b837ca3173560,a00dd4564928b29e301688fe7b5d6050b1a9c756,a00dd45,protoclass(#46): principled binary-mode name anchor; retire REPLACE seed -> PRINCIPLED
09a3178b4e3baad555861f19316e028fd1bafacd,7aa876ac1446724e4ca31e92e09e63717ff3e1ff,7aa876a,poc(#42): lsr-only field-reg + drop redundant proto-arm edge injection
09eef49424fbcc2ace550ad6a0dddc0cce1f0129,96b5fb1a6bd545cd3e49bec87e224661be892be7,96b5fb1,transparency: flag singular by-value embedded-struct fields emitted as bytes
0a3d16f26fa564a85e254fc5b51372451ccce05d,5158baf7fab5c3e6d0039e84b9c5e9ed3adf15d8,5158baf,refactor: decompose extract_proto_message's per-field loop into named helpers
0a4924af2cad6af13821436fb23b37d4b738b29d,598ce10261bd34fa5025eb374ccb8ce517767b28,598ce10,proto_diff: move into its own package folder
0b6f2592d3c4f1d2d920188ec2bdf93e5d4499a4,e3ecb046e4e4e3a737c505b5d9c3e298a2c2aa4b,e3ecb04,#11 step 5a: carve runtime config (prefixes + enum-debug sink) into proto/config.py
0de7e7d67e03c224b7ef4d7b81323c3d1af4a9cd,8a4bd9862084a5f65ac082dcaed206a3393563eb,8a4bd98,README: add ios_decoder as the fifth tool
0e9debafaf338647b527e996fa1d13975324ac4d,779d2cef4ee9aeda6502b62880d8f52432e62380,779d2ce,macho_extractor: repoint reference-proto paths at iphone8_reference_protos/
102b05da5ad5de236b0aa334ac88371a2b52d31e,1ca7ec381790736914c69d1505851709f7578360,1ca7ec3,swift #63b: defer integer-subtype recovery as an accepted limitation
10ceaec3814ca9f46e5e1cf24c6be8966e3fa9f6,5c5f7265fad5d26c5976c9f1366ee743e4115601,5c5f726,enums/repeated: adopt the arm64cfg operand toolkit; drop ad-hoc adrp/ldr parsers
11c459d311c223d93df12e26061bb96d66460a3e,ac8ae513117ae8fe1d6769c9163ce4509e1dd207,ac8ae51,SPARSE_ENUM_REGISTER_COMPARE_FIX
148f9a52095557715995b35cd836fe1f6ed3ce1a,87618c8377018db8f999263e8abb25511fc2e34f,87618c8,Replace no-symbols fallbacks with an up-front error/warning gate
14ab51db3989d58279fb404d96b4cf8470158810,f5601d3fa26ccb908557c17764591b5cfc9557ae,f5601d3,geo_traffic: functionId -> message identity table + identifier (Stage B #1)
15cd37c4cba667a0f454adbb93929b4e158b5629,18435e2a82ea416d081a8c2d0ff40a21210055a3,18435e2,"proto_diff: docstrings, function-boundary splits, portability/coverage hardening"
163b2c4dc6ab968ce2d10bc300473b460c950b6d,f08dfb5c4604da70715116c20baf33f1daef962a,f08dfb5,notes: move TODO.md into notes/ (complete the relocation)
1707d841a4a17a40428fe1ccbbb0e0a082056af5,2f4a2e2c444ffb6da0eefa6275cb70d0ef109826,2f4a2e2,test: add MACHO_TEST_DPSUBMISSION env override to the DPSubmissionService gate
171eaca2a61370c4619004a98521b9229fc08b1b,76f16bc6125931ba135e0a987333cf195a68daee,76f16bc,TODO #40: replace _DICTREP_MAX_INSNS budget with a function-extent bound
1771d987556a2c32018f2f365f2f2994de67b49d,c9935959d7a7482ea9c19df4aa9452dead1cd029,c993595,Dedup ctx lazy-cache idiom into _ctx_cache helper
17c60264a7bb52f270944a01403f382edcaaf3c6,a82795061aa12fe23566cae2720fe714b54b7a96,a827950,emitter: de-collide reconstructed enum names against message names
18415caf5f63dd2f0695caadea580145d58e75bb,2eb4c8dfadc56fab7ef67e7a49d4fcb1c1bf6343,2eb4c8d,"heuristic_registry: deep-scan audit — +37 rows, 2 label corrections"
185036596a42ec76ffa5119fe4eef398cfb8508a,1192da53ec7a8b8447b34dc55631023b89bf470d,1192da5,docs: mark #11 monolith split complete; record #10b finding; refresh writeTo-swap status
191e1024f69a507fa80e503d42e938fc7d9a568f,3b5bb79f119d32ffd964dbac7d9072265826764c,3b5bb79,geo_traffic: co-locate tests in geo_traffic/tests/
19fc70c87aec8b76b030e36a731d20e3fd296098,75fe514584ff55d6671c3961d13204cfb3b9a8ae,75fe514,proto_diff: drop the unused llm_prototype.py harness
1b42aad548a7bf36b178ea83307a7c850ba8c616,1e53720dd20555b4df1982646e7ca7a015ec9c0d,1e53720,Document that enum type names are reconstructed (and harmless if wrong)
1b59e00efae61df3c1a0b439c3c8df8f37f08dd4,311ffb78b94911cdebb74a8348f1bb736b39f1d5,311ffb7,refactor: extract verbose diagnostics out of DyldCacheReader._load_subcaches
1b60c1098d976406564e439de00aa6a20eacde8f,ba0d2053550214058f7ad3376ff64722fa5a846d,ba0d205,writeTo walk: match w/x register views in the hoisted-value tracer (+5 first fields)
1c698daf80c6df20e736cfeedddd3039ce17bcd7,e1ccf8868f7f29e79ae8921e4da34c50d2924be4,e1ccf88,#59 cap-sparse-range: reframe _SPARSE_MAX_RANGE as the 12-bit cmp ceiling
1cc59945c9b2be3c02d1486cafc24ab63873eac4,24ca614151b986e00087984e9f452791f31d997d,24ca614,heuristic_registry: clarify protoclass REPLACE rationale + REPLACE-row taxonomy
1ec059ac8ac1d399848ff9f96f18fb26e08a5530,b90cdb6ffac05e59e457a678a6ea04d6a180d72a,b90cdb6,config.py: drop module-global mutable state; thread prefixes + enum-debug writer as params
1f2cfb0dc47e83911b95b3951bcffc27448c786c,51128f1d4d3eb91d67b1cdff12afb22bb3049f0d,51128f1,#11 step 3: carve the readFrom dispatch mechanism into proto/dispatch.py
